날짜,식당,메뉴,가격,구매여부,먹지않은이유
2018-01-01,,,,,신정
2018-01-02,시루향기,콩나물국밥,6500,TRUE,
2018-01-03,청원,고추잡채밥,8000,TRUE,
2018-01-04,월남선생,해물볶음밥곱배기,6900,TRUE,
2018-01-05,편의점,도시락,4500,TRUE,
2018-01-06,,,,,
2018-01-07,,,,,
2018-01-08,육부장,김치찌개,7000,FALSE,
2018-01-09,바다양푼이,동태탕,5500,FALSE,
2018-01-10,,,,,휴무
2018-01-11,청원,잡채밥,7000,TRUE,
2018-01-12,요리수리,백반,6000,TRUE,
2018-01-13,,,,,
2018-01-14,,,,,
2018-01-15,할매순대,순대국,6000,TRUE,
2018-01-16,시루향기,콩나물국밥,6800,FALSE,
2018-01-17,태양생고기,징기스칸,6000,TRUE,
2018-01-18,청원,굴짬뽕,6000,TRUE,
2018-01-19,왕가네칼국수,바지락칼국수,6000,FALSE,
2018-01-20,,,,,
2018-01-21,,,,,
2018-01-22,청원,삼선볶음밥,7500,FALSE,
2018-01-23,해오름,부대찌개,6000,TRUE,
2018-01-24,할매순대,순대국,6000,TRUE,
2018-01-25,남원추어탕,쭈꾸미돌솥밥,6000,TRUE,
2018-01-26,,,,,문화의날
2018-01-27,,,,,
2018-01-28,,,,,
2018-01-29,월남선생,새우완탕쌀국수,6900,FALSE,
2018-01-30,할매순대,선지해장국,6000,TRUE,
2018-01-31,도마다리,뼈해장국,8000,TRUE,
2018-02-01,편의점,도시락,5200,TRUE,
2018-02-02,청원,간짜장곱배기,6500,TRUE,
2018-02-03,,,,,
2018-02-04,,,,,
2018-02-05,할매순대,순대국,6000,FALSE,
2018-02-06,시루향기,콩나물국밥,6800,TRUE,
2018-02-07,일차3.5,차돌된장,6000,TRUE,
2018-02-08,미반,고구마치즈돈까스,7000,TRUE,
2018-02-09,도마다리 ,뼈해장국,8000,TRUE,
2018-02-10,,,,,
2018-02-11,,,,,
2018-02-12,해오름,부대찌개,6000,FALSE,
2018-02-13,할매순대,선지해장국,6000,TRUE,
2018-02-14,도마다리,뼈해장국,8000,TRUE,
2018-02-15,,,,,설날
2018-02-16,,,,,설날
2018-02-17,,,,,
2018-02-18,,,,,
2018-02-19,청원,고추잡채밥,8000,FALSE,
2018-02-20,일차3.5,돼지불백,6000,TRUE,
2018-02-21,,,,,휴가
2018-02-22,,,,,휴가
2018-02-23,,,,,문화의날
2018-02-24,,,,,
2018-02-25,,,,,
2018-02-26,청원,자장면곱배기,6000,FALSE,
2018-02-27,요리수리,백반,6000,TRUE,
2018-02-28,태양생고기,징기스칸,6000,TRUE,
2018-03-01,,,,,삼일절
2018-03-02,일차3.5,김치찌개,7000,TRUE,
2018-03-03,,,,,
2018-03-04,,,,,
2018-03-05,할매순대,순대국,6000,FALSE,
2018-03-06,요리수리,백반,6000,TRUE,
2018-03-07,태양생고기,징기스칸,6000,TRUE,
2018-03-08,청원,짬뽕,5500,TRUE,
2018-03-09,피씨방,치킨마요+라면,7500,TRUE,
2018-03-10,,,,,
2018-03-11,,,,,
2018-03-12,일차3.5,소불고기,7000,FALSE,
2018-03-13,요리수리,백반,6000,TRUE,
2018-03-14,잔쯔,볶음밥,5500,TRUE,
2018-03-15,청원,우동,6000,FALSE,
2018-03-16,시루향기 ,콩나물국밥,6500,TRUE,
2018-03-17,,,,,
2018-03-18,,,,,
2018-03-19,청원,잡채밥,8000,FALSE,
2018-03-20,할매순대,순대국,6000,TRUE,
2018-03-21,잔쯔,짬볶면,6500,TRUE,
2018-03-22,시루향기,콩나물국바,6500,TRUE,
2018-03-23,도마다리,뼈해장국,8000,TRUE,
2018-03-24,,,,,
2018-03-25,,,,,
2018-03-26,태양신족발,제육볶음,6000,FALSE,
2018-03-27,요리수리,백반,6000,TRUE,
2018-03-28,태양생고기,징기스칸,6000,TRUE,
2018-03-29,해오름,부대찌개,6000,TRUE,
2018-03-30,,,,,문화의날
2018-03-31,,,,,
2018-04-01,,,,,
2018-04-02,태양신족발,제육볶음,6000,FALSE,
2018-04-03,할매순대국,선지해장국,6000,TRUE,
2018-04-04,버거킹,더블치즈버거세트,4900,TRUE,
2018-04-05,해오름,부대찌개,6000,TRUE,
2018-04-06,잔쯔,탕수육정식,7000,TRUE,
2018-04-07,,,,,
2018-04-08,,,,,
2018-04-09,월남선생,양지쌀국수,5900,TRUE,
2018-04-10,기사분식,돼지불백,7000,TRUE,
2018-04-11,버거킹,뉴올리언스치킨버거세트,5900,TRUE,
2018-04-12,잔쯔,탕수육정식,7000,TRUE,
2018-04-13,피씨방,김치볶음밥+라면,6500,TRUE,
2018-04-14,,,,,
2018-04-15,,,,,
2018-04-16,요리수리,백반,6000,TRUE,
2018-04-17,태양신족발,제육볶음,6000,TRUE,
2018-04-18,착한고기,제육뚝배기,6000,TRUE,
2018-04-19,청원,간짜장+공기밥,6500,TRUE,
2018-04-20,피씨방,라면+치킨데리아끼,4000,TRUE,
2018-04-21,,,,,
2018-04-22,,,,,
2018-04-23,해오름,부대찌개,6000,FALSE,
2018-04-24,월남선생,볶음쌀국수,6900,TRUE,
2018-04-25,태양신족발,제육볶음,6000,TRUE,
2018-04-26,청원,짬뽕,5500,TRUE,
2018-04-27,,,,,문화의날
2018-04-28,,,,,
2018-04-29,,,,,
2018-04-30,김가네,라볶이+김밥,8000,FALSE,
2018-05-01,,,,,근로자의날
2018-05-02,해오름,부대찌개,6000,TRUE,
2018-05-03,요리수리,백반,6000,TRUE,
2018-05-04,일차3.5,대패삼겹살,7000,FALSE,
2018-05-05,,,,,
